https://www.fns-cloud.eu/foodComponents/FNS_H_0000003061,"'25-hydroxycholecalciferol'	'25-hidroksiholekalciferol'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003062,"'24-metilholest-7-erol'	'24-methylcholest-7-erol'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003063,"'choline'	'Holin'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003064,"'Holesterol'	'cholesterol'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003065,"'Skupni ogljikovi hidrati'	'carbohydrate, total'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003066,"'carbohydrates, unspecified '",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003067,"'Citronska kislina'	'citric acid'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003068,"'chloride'	'Klorid'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003069,"'Kobalt'	'cobalt'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003070,"'carbon dioxide, free'	'Prosti ogljikov dioksid'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003071,"'collagen'	'Kolagen'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003072,"'Konsistenca'	'consistency'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003073,"'Kumestrol'	'coumestrol'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003074,"'Krom'	'chromium'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003075,"'Kreatin/kreatinin'	'creatine/creatinine'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003076,"'Kriptoksantini'	'cryptoxanthins'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003077,"'alpha-cryptoxanthin'	'Alfa kriptoksantin'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003078,"'beta-cryptoxanthin'	'Beta kriptoksantin'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003079,"'Baker'	'copper'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003080,"'Ciklamat'	'cyclamate'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003081,"'Cistin'	'cystine'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003082,"'Cistein'	'cysteine'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003083,"'daidzein'	'Daidzein'",
